Time,SensorID,Type,Position,Value
0.0,0,Acceleration,100.0,-0.002298913676624223
0.01,0,Acceleration,100.0,-0.004160984332401508
0.02,0,Acceleration,100.0,-0.004433753911974657
0.03,0,Acceleration,100.0,-0.003012912485047844
0.04,0,Acceleration,100.0,-0.00044128622640985694
0.05,0,Acceleration,100.0,0.0022988916113671682
0.06,0,Acceleration,100.0,0.004160983289515352
0.07,0,Acceleration,100.0,0.004433654960144589
0.08,0,Acceleration,100.0,0.0030129038958335227
0.09,0,Acceleration,100.0,0.00044128468040039554
0.1,0,Acceleration,100.0,-0.0022988932265018028
0.11,0,Acceleration,100.0,-0.004161015094468855
0.12,0,Acceleration,100.0,-0.004433753548504903
0.13,0,Acceleration,100.0,-0.0030129449418346064
0.14,0,Acceleration,100.0,-0.0004412832610305926
0.15,0,Acceleration,100.0,0.002298881898451327
0.16,0,Acceleration,100.0,0.004160915355498068
0.17,0,Acceleration,100.0,0.004433707880128497
0.18,0,Acceleration,100.0,0.0030129237469329745
0.19,0,Acceleration,100.0,0.00044128962112630803
0.2,0,Acceleration,100.0,-0.002298893260824985
0.21,0,Acceleration,100.0,-0.0041609874223408035
0.22,0,Acceleration,100.0,-0.0044336857910907326
0.23,0,Acceleration,100.0,-0.0030129173243353155
0.24,0,Acceleration,100.0,-0.00044129072377580795
0.25,0,Acceleration,100.0,0.002298905165642161
0.26,0,Acceleration,100.0,0.004160976720036617
0.27,0,Acceleration,100.0,0.004433702086628435
0.28,0,Acceleration,100.0,0.0030128355836765677
0.29,0,Acceleration,100.0,0.0004412902518312236
0.3,0,Acceleration,100.0,-0.0022988970432383776
0.31,0,Acceleration,100.0,-0.004160983988991503
0.32,0,Acceleration,100.0,-0.004433713733251311
0.33,0,Acceleration,100.0,-0.0030129338713887786
0.34,0,Acceleration,100.0,-0.00044128709518938703
0.35000000000000003,0,Acceleration,100.0,0.0022988684054061955
0.36,0,Acceleration,100.0,0.004161036869927301
0.37,0,Acceleration,100.0,0.004433727370184645
0.38,0,Acceleration,100.0,0.0030129391613546714
0.39,0,Acceleration,100.0,0.0004412807884108398
0.4,0,Acceleration,100.0,-0.0022988647785282933
